ID1,length,AB_selenci,BA_selenci,Total_Flow,AB_VMT,BA_VMT,Total_VMT
1,0.153255134821,0.0,24.5726165771,24.5726165771,0.0,3.7658796664282,3.7658796664282
2,0.12855619192099998,0.0,24.5726165771,24.5726165771,0.0,3.158962012686813,3.158962012686813
3,0.202993035316,115.28149414100001,116.634529114,231.91602325500003,23.40134041144526,23.67599708750323,47.077337498948495
4,0.17929957807100003,31.357620239299997,21.703155517600003,53.0607757569,5.62240807821714,3.8913666271149765,9.513774705332118
5,0.0965773239732,31.357620239299997,21.703155517600003,53.0607757569,3.028435048879449,2.0960326816639987,5.124467730543448
6,0.11235392093699999,6.03538990021,0.0,6.03538990021,0.6780997196721626,0.0,0.6780997196721626
7,0.317335575819,35.562046050999996,26.6364326477,62.1984786987,11.285102360895879,8.452687692021891,19.73779005291777
8,0.173251405358,35.562046050999996,26.6364326477,62.1984786987,6.161174455741663,4.614799389937738,10.7759738456794
9,0.152644723654,3.57658362389,9.358005523680001,12.934589147570001,0.5459466188941109,1.4284501671147394,1.9743967860088503
11,0.28157004714,0.0,0.9569695591930001,0.9569695591930001,0.0,0.26945396389351806,0.26945396389351806
12,0.24778264761,0.0,0.9569695591930001,0.9569695591930001,0.0,0.23712045105901616,0.23712045105901616
13,0.170521259308,0.0,0.0,0.0,0.0,0.0,0.0
14,0.168449118733,1.2641390562100001,0.0,1.2641390562100001,0.21294310997454088,0.0,0.21294310997454088
15,0.138623595238,4.982394695280001,1.6218596696899998,6.604254364970001,0.6906774655544532,0.2248280183839429,0.9155054839383961
16,0.234987288713,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0942377522588,0.0,0.0,0.0,0.0,0.0,0.0
19,0.023044267669299998,11.4680452347,11.6113185883,23.079363823,0.2642727040320671,0.26757433354230375,0.5318470375743709
20,0.150664865971,2.36606383324,3.8306496143300004,6.1967134475700005,0.35648269031393515,0.5771443107248924,0.9336270010388276
21,0.056337658315900006,0.0,0.0,0.0,0.0,0.0,0.0
23,0.15596099197899999,2.0,1.5,3.5,0.31192198395799997,0.23394148796849998,0.5458634719265
25,0.0355114899576,104.504257202,0.0,104.504257202,3.7111018801552706,0.0,3.7111018801552706
26,0.194342762232,5736.5,6155.26806641,11891.76806641,1114.847255543868,1196.231798304541,2311.0790538484093
27,0.0349905304611,0.0,0.146771118045,0.146771118045,0.0,0.005135599276763277,0.005135599276763277
28,0.0900602042675,2.6778011322,0.10946784168500001,2.787268973885,0.24116331695367477,0.009858696182873453,0.2510220131365482
30,0.061411280185,0.0,0.0,0.0,0.0,0.0,0.0
32,0.115105785429,3.7662632465400003,1.14232170582,4.90858495236,0.43351868912536223,0.13148783716100618,0.5650065262863684
34,0.0710267871618,4.31241512299,,,0.3062969910939383,,
35,0.13730818033199998,0.0,1.0909888744399998,1.0909888744399998,0.0,0.14980169711181318,0.14980169711181318
36,0.20695742964699998,0.0,0.0,0.0,0.0,0.0,0.0
37,0.14377173781400002,0.0,0.0,0.0,0.0,0.0,0.0
38,0.034643702209,0.0,0.990838825703,0.990838825703,0.0,0.03432632521476999,0.03432632521476999
39,0.0685006454587,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0673761889338,17.9461841583,45.4574890137,63.403673172,1.2091454944903892,3.062752368243189,4.271897862733578
42,0.041182372719,99.84815979,0.0,99.84815979,4.111984131778049,0.0,4.111984131778049
43,0.23595415055799998,15.824005127000001,,,3.7337396881667217,,
44,0.09114903211589999,2.51580739021,3.2703182697299997,5.78612565994,0.22931340860766983,0.29808634499683423,0.5273997536045041
46,0.21101316809700002,0.0,0.939347445965,0.939347445965,0.0,0.1982146805169002,0.1982146805169002
47,0.142384663224,6.69775724411,0.0,6.69775724411,0.9536579095587088,0.0,0.9536579095587088
48,0.370140194893,252.48628234900002,30.344451904299998,282.8307342533,93.4553217564679,11.231701341778866,104.68702309824675
49,0.140273302794,252.48628234900002,30.344451904299998,282.8307342533,35.41708473527265,4.256516490089843,39.673601225362496
50,0.150392964482,5.2157959938,4.68629789352,9.90209388732,0.7844190216409213,0.7047862326522248,1.4892052542931462
51,0.309181779623,252.48628234900002,30.344451904299998,282.8307342533,78.06415810705907,9.381951641456004,87.44610974851508
52,0.307417213917,189.772827148,206.374588013,396.147415161,58.339433798990584,63.443100870225166,121.78253466921575
53,0.4712639153,0.0,0.0,0.0,0.0,0.0,0.0
54,0.13355293869999998,0.5134884715079999,1.5124218463899999,2.025910317898,0.0685778943584646,0.20198838213946443,0.2705662764979291
55,0.09564862400289999,2.51580739021,3.2703182697299997,5.78612565994,0.24063351512991338,0.3128014425512192,0.5534349576811326
56,0.0651052743196,0.0,0.0,0.0,0.0,0.0,0.0
57,0.10854717344,2.5110602378799998,3.02617740631,5.53723764419,0.272568491159448,0.32848300378294093,0.601051494942389
58,0.297873824835,1193.7689209,,,355.5925144376336,,
59,0.305131137371,5238.76220703,,,1598.5094706472742,,
60,0.09907901287080001,2.51027297974,3.02482295036,5.5350959301,0.24871536886888093,0.2996964720306097,0.5484118408994906
61,0.0893337801099,0.0,0.0,0.0,0.0,0.0,0.0
63,0.289331227541,239.164093018,101.220024109,340.38411712699997,69.19764061662784,29.286113827186583,98.48375444381442
64,0.188668265939,35.562046050999996,26.6364326477,62.1984786987,6.709429561685032,5.025449558442525,11.734879120127557
65,0.172472417355,0.0,0.0,0.0,0.0,0.0,0.0
66,0.105375245214,0.38451576232900003,3.70723462105,4.091750383379,0.040518442744066525,0.39065075725897414,0.43116920000304065
